,UMAP1,UMAP2,UMAP3,cluster_label,Planet
1166,12.2837925,9.85102,1.5999832,0,TOI-640 b
1167,-0.111309744,9.363745,5.2541313,1,TOI-674 b
1168,-0.29455614,9.032846,4.8135257,1,TOI-700 b
1169,0.01652523,8.774955,4.373336,1,TOI-700 b
1170,0.036491968,8.75102,4.3284335,1,TOI-700 b
1171,-0.3172047,9.040113,4.792841,1,TOI-700 c
1172,0.010277177,8.789475,4.4028296,1,TOI-700 c
1173,0.088668264,8.743765,4.3149066,1,TOI-700 c
1174,0.34360218,8.619916,4.0102324,1,TOI-700 d
1175,-0.31777653,9.046234,4.8072186,1,TOI-700 d
1176,-0.307524,9.005516,4.751525,1,TOI-700 d
1177,-0.08645965,8.8519,4.513041,1,TOI-700 e
1178,7.0536733,6.0183,2.937569,4,TOI-712 b
1179,5.2165527,9.893811,5.049801,1,TOI-712 c
1180,5.1601367,9.8974,5.062699,1,TOI-712 d
1181,9.267474,11.926487,4.6024,0,TOI-733 b
1182,0.9168915,9.160819,4.9572735,1,TOI-776 b
1183,0.9259601,9.2508135,5.104466,1,TOI-776 c
1184,9.9060955,7.6361976,2.2584274,0,TOI-778 b
1185,11.033553,9.522731,2.6154854,0,TOI-892 b
1186,9.214457,12.323369,4.804833,0,TOI-905 b
1187,5.6980414,12.131393,6.126383,0,TOI-942 b
1188,7.57794,7.1815896,3.3361096,0,TOI-942 b
1189,6.8966565,9.508401,4.566727,0,TOI-942 c
1190,5.6920843,12.158248,6.1525445,0,TOI-942 c
1191,10.0399065,9.877208,3.2660644,0,TOI-954 b
1192,-2.2417495,8.920706,2.6958036,1,TRAPPIST-1 b
1193,-2.3254926,8.930768,2.6422057,1,TRAPPIST-1 b
1194,-2.210925,8.860233,2.7399254,1,TRAPPIST-1 c
1195,-2.3038578,8.901008,2.6695037,1,TRAPPIST-1 c
1196,-2.299938,8.921993,2.6599126,1,TRAPPIST-1 d
1197,-2.322188,8.913896,2.6372595,1,TRAPPIST-1 e
1198,-2.2908478,8.919931,2.6650183,1,TRAPPIST-1 f
1199,-2.293431,8.920819,2.663245,1,TRAPPIST-1 g
1200,11.004121,0.6314856,6.972087,0,TYC 0434-04538-1 b
1201,11.902153,2.2940512,7.4525847,0,TYC 1422-614-1 b
1202,11.71201,2.3939583,7.3906646,0,TYC 1422-614-1 c
1203,0.9787698,8.915977,4.72867,1,TYC 2187-512-1 b
1204,11.747155,2.433356,7.1915402,0,TYC 3318-01333-1 b
1205,11.922738,2.3248136,7.4608073,0,TYC 3667-1280-1 b
1206,10.902346,0.4494367,6.214616,0,TYC 4282-00605-1 b
1207,-2.1075082,8.898891,2.7688248,1,Teegarden's Star b
1208,-2.1005788,8.902862,2.77571,1,Teegarden's Star c
1209,10.656164,12.549303,4.2159686,0,TrES-2 b
1210,10.768022,12.640267,4.160543,0,TrES-2 b
1211,9.320139,12.878328,5.0244203,0,TrES-3 b
1212,12.350416,10.710641,1.9332571,0,TrES-4 b
1213,12.332666,10.6953535,1.8882686,0,TrES-4 b
1214,7.444011,10.27758,4.7776084,0,V1298 Tau b
1215,7.438353,10.150442,4.7152224,0,V1298 Tau b
1216,7.6594553,7.1926637,3.3237798,0,V1298 Tau c
1217,7.1280074,9.429014,4.4997168,0,V1298 Tau d
1218,7.4567275,10.299582,4.7795,0,V1298 Tau e
1219,5.682262,12.115659,6.0957108,0,WASP-11 b
1220,6.958026,11.942616,5.7140074,0,WASP-11 b
1221,12.753508,10.319266,1.6396079,0,WASP-12 b
1222,12.86616,10.317093,1.6527421,0,WASP-121 b
1223,5.2758365,9.935972,5.051042,0,WASP-132 b
1224,5.8550916,9.755022,4.8577256,0,WASP-132 c
1225,8.702173,8.885088,3.6351354,0,WASP-148 b
1226,8.694615,8.943224,3.6808898,0,WASP-148 c
1227,12.782278,10.607818,2.0012615,0,WASP-15 b
1228,10.740287,12.681145,4.1663046,0,WASP-173 A b
1229,12.891465,10.505046,1.8839833,0,WASP-174 b
1230,12.620559,9.161979,0.75963193,0,WASP-178 b
1231,12.903947,10.4553,1.83689,0,WASP-18 b
1232,9.711084,12.786968,4.7969885,0,WASP-19 b
1233,11.501525,10.176648,2.680405,0,WASP-193 b
1234,12.80429,10.582438,1.9906579,0,WASP-3 b
1235,10.700432,12.673662,4.2222033,0,WASP-37 b
1236,8.8636,12.750938,5.193188,0,WASP-4 b
1237,5.7367263,12.00593,6.031941,0,WASP-53 b
1238,8.104432,4.130282,3.4952366,4,WASP-53 c
1239,8.34885,12.638312,5.429063,0,WASP-64 b
1240,11.520073,11.708006,2.379117,0,WASP-68 b
1241,12.376076,10.597729,1.8386482,0,WASP-72 b
1242,12.063059,11.046078,2.0268707,0,WASP-73 b
1243,9.382461,12.798276,4.9759717,0,WASP-77 A b
1244,10.224609,10.565016,3.4218512,0,WASP-81 b
1245,-0.3024757,8.504046,3.4518845,1,Wolf 1061 b
1246,-0.5703387,8.562387,3.5447788,1,Wolf 1061 c
1247,0.6418887,8.026721,2.4999032,1,Wolf 1061 d
1248,7.140739,6.449645,3.0264971,4,Wolf 503 b
1249,7.870744,12.392983,5.6063404,0,XO-2 N b
1250,9.646086,7.4085116,2.3506496,0,XO-3 b
1251,8.391055,12.674139,5.4061112,0,XO-5 b
1252,-1.5700945,8.796174,3.0620782,1,YZ Cet b
1253,-1.8574303,8.85784,2.90948,1,YZ Cet c
1254,-1.5370461,8.776739,3.0594578,1,YZ Cet d
1255,10.934963,-0.541181,5.8103743,3,bet Cnc b
1256,8.164568,3.3978822,6.2416687,4,bet Pic b
